,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine(cc),Power(bhp),Seats,Price(lakhs),Brand
2767,Polo Petrol Highline 1.6L,Chennai,2011,70000,Petrol,Manual,Second,15.26,1598.0,103.5,5.0,3.29,Volkswagen
2768,Swift VXi BSIV,Pune,2015,13769,Petrol,Manual,Second,16.1,1197.0,85.0,5.0,4.41,Maruti
2769,Duster 110PS Diesel RxZ,Kolkata,2013,58000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,4.99,Renault
2770,X3 xDrive 20d Luxury Line,Hyderabad,2009,58000,Diesel,Automatic,First,18.56,1995.0,190.0,5.0,17.98,BMW
2771,Avventura MULTIJET Emotion,Coimbatore,2018,18705,Diesel,Manual,First,20.5,1248.0,91.72,5.0,7.71,Fiat
2772,Wagon R Stingray VXI,Delhi,2013,32378,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.8,Maruti
2773,Sail Hatchback LS ABS,Kolkata,2013,45000,Diesel,Manual,First,22.1,1248.0,76.9,5.0,3.0,Chevrolet
2774,XUV500 W8 2WD,Coimbatore,2015,36836,Diesel,Manual,First,15.1,2179.0,140.0,7.0,12.49,Mahindra
2775,Zest Quadrajet 1.3,Kochi,2016,54199,Diesel,Manual,First,23.0,1248.0,88.8,5.0,5.0,Tata
2776,X3 xDrive20d xLine,Kochi,2017,36935,Diesel,Automatic,First,18.56,1995.0,190.0,5.0,32.64,BMW
2777,Swift VDI BSIV,Chennai,2015,23000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.5,Maruti
2778,5 Series 2013-2017 520d Luxury Line,Bangalore,2015,14000,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,35.0,BMW
2779,Indigo CS eVX,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396.0,69.01,5.0,2.0,Tata
2780,XUV500 W8 2WD,Kochi,2015,59182,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.46,Mahindra
2781,Q7 35 TDI Quattro Premium Plus,Kochi,2016,72132,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,39.0,Audi
2782,5 Series 2003-2012 520d,Hyderabad,2009,79000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,15.0,BMW
2783,Verna 1.6 SX VTVT (O),Coimbatore,2013,66930,Petrol,Manual,First,17.1,1591.0,121.3,5.0,6.15,Hyundai
2784,Santa Fe 4WD AT,Pune,2015,100000,Diesel,Automatic,Second,13.01,2199.0,194.3,7.0,14.5,Hyundai
2785,Santro GLS II - Euro II,Bangalore,2012,43000,Petrol,Manual,First,18.9,1197.0,78.9,5.0,3.25,Hyundai
2786,Wagon R AMT VXI,Kochi,2018,27413,Petrol,Automatic,First,20.51,998.0,67.0,5.0,5.18,Maruti
2787,Wagon R LX BSIII,Pune,2007,90000,Petrol,Manual,Second,17.3,1061.0,64.0,5.0,1.24,Maruti
2788,i20 Sportz 1.2,Kolkata,2013,40300,Petrol,Manual,First,18.5,1197.0,82.85,5.0,2.8,Hyundai
2789,Superb Elegance 1.8 TSI AT,Kochi,2011,73783,Petrol,Automatic,Second,13.7,1798.0,157.75,5.0,5.23,Skoda
2790,Getz GLS,Pune,2005,86000,Petrol,Manual,Second,15.3,1341.0,83.0,5.0,0.45,Hyundai
2791,Wagon R LXI BS IV,Delhi,2014,65694,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.25,Maruti
2792,Omni MPI CARGO BSIV,Kolkata,2015,23000,Petrol,Manual,First,16.8,796.0,34.2,5.0,1.5,Maruti
2793,i10 Magna 1.2,Mumbai,2012,51000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.85,Hyundai
2794,KWID 1.0 RXT Optional,Kochi,2018,18335,Petrol,Manual,First,21.7,999.0,67.0,5.0,4.5,Renault
2795,B Class 2012-2015 B200 Sport CDI,Bangalore,2014,36000,Diesel,Automatic,First,15.0,2147.0,107.3,5.0,16.25,Mercedes-Benz
2796,Polo GT TSI,Mumbai,2017,25000,Petrol,Automatic,First,17.21,1197.0,103.5,5.0,7.75,Volkswagen
2797,Scorpio VLX 4WD,Bangalore,2007,81000,Diesel,Manual,Third,12.05,2179.0,120.0,8.0,4.35,Mahindra
2798,Fortuner 2.8 2WD AT,Kochi,2019,21719,Diesel,Automatic,First,12.9,2755.0,174.5,7.0,33.13,Toyota
2799,Beat Diesel LT,Coimbatore,2013,75421,Diesel,Manual,First,25.44,936.0,56.3,5.0,3.63,Chevrolet
2800,Innova 2.5 G4 Diesel 8-seater,Delhi,2010,80000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,4.75,Toyota
2801,Swift Dzire VXI,Kochi,2018,10671,Petrol,Manual,First,20.85,1197.0,83.14,5.0,6.51,Maruti
2802,KWID Climber 1.0 MT,Hyderabad,2018,4126,Petrol,Manual,First,21.7,999.0,67.0,5.0,4.8,Renault
2803,Bolt Quadrajet XM,Hyderabad,2017,98500,Diesel,Manual,First,22.95,1248.0,74.0,5.0,6.0,Tata
2804,Grand i10 Asta,Coimbatore,2016,61578,Petrol,Manual,First,18.9,1197.0,82.0,5.0,6.4,Hyundai
2805,Vento 1.5 TDI Highline,Ahmedabad,2014,54000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,4.9,Volkswagen
2806,A6 2011-2015 2.0 TDI,Coimbatore,2013,70998,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20.57,Audi
2807,Swift Dzire Ldi BSIV,Kolkata,2015,40082,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4.76,Maruti
2808,Spark 1.0 LT,Kochi,2012,50619,Petrol,Manual,First,18.0,995.0,62.0,5.0,2.0,Chevrolet
2809,3 Series 320d,Coimbatore,2009,103905,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,9.92,BMW
2810,EON Era Plus,Kochi,2018,15334,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.69,Hyundai
2811,Swift Dzire VDI,Hyderabad,2013,69000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5.75,Maruti
2812,CrossPolo 1.5 TDI,Hyderabad,2014,75160,Diesel,Manual,First,20.14,1498.0,88.5,5.0,5.7,Volkswagen
2813,Amaze E i-Vtech,Coimbatore,2014,44753,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.94,Honda
2814,Vento Petrol Highline AT,Kochi,2012,53024,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,4.29,Volkswagen
2815,Wagon R Stingray VXI,Kolkata,2014,23840,Petrol,Manual,First,20.51,998.0,67.04,5.0,3.0,Maruti
2816,Polo 1.5 TDI Highline,Hyderabad,2014,81298,Diesel,Manual,First,20.14,1498.0,88.8,5.0,6.5,Volkswagen
2817,Polo Petrol Comfortline 1.2L,Jaipur,2015,59000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,4.9,Volkswagen
2818,Amaze SX i-DTEC,Kochi,2016,51806,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4,Honda
2819,A6 35 TDI Matrix,Delhi,2014,56000,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,24.0,Audi
2820,Tigor 1.05 Revotorq XZ Option,Kochi,2019,29279,Diesel,Manual,First,24.7,1047.0,69.0,5.0,7.46,Tata
2821,Vento 1.5 TDI Highline AT,Kochi,2017,33550,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,9.6,Volkswagen
2822,A6 35 TDI Matrix,Hyderabad,2014,62000,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,25.0,Audi
2823,Terrano XL 110 PS,Hyderabad,2014,66000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,6.8,Nissan
2824,Rapid 1.5 TDI AT Elegance,Coimbatore,2016,46630,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,8.59,Skoda
2825,Figo Aspire 1.5 TDCi Trend,Hyderabad,2016,72566,Diesel,Manual,First,25.83,1498.0,99.0,5.0,5.29,Ford
2826,Venture EX,Pune,2011,51482,Diesel,Manual,First,15.42,1405.0,70.0,8.0,2.5,Tata
2827,New C-Class C 220 CDI BE Avantgare,Chennai,2011,90000,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,13.9,Mercedes-Benz
2828,Fortuner 4x2 Manual,Jaipur,2014,69000,Diesel,Manual,Second,13.0,2982.0,168.5,7.0,20.0,Toyota
2829,City 1.5 V MT,Delhi,2011,90000,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,3.4,Honda
2830,i20 Asta Option 1.2,Mumbai,2015,39000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.5,Hyundai
2831,Vento Diesel Trendline,Hyderabad,2012,110000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,3.65,Volkswagen
2832,Endeavour 2.5L 4X2 MT,Kochi,2011,68022,Diesel,Manual,First,13.1,2499.0,141.0,7.0,5.86,Ford
2833,EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,Petrol,Automatic,First,14.8,1497.0,121.36,5.0,10.44,Ford
2834,i20 Sportz Diesel,Coimbatore,2011,68439,Diesel,Manual,First,23.0,1396.0,90.0,5.0,3.37,Hyundai
2835,Innova 2.5 VX (Diesel) 8 Seater,Delhi,2011,150000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,6.95,Toyota
2836,Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,2018,14000,Diesel,Manual,First,21.5,1497.0,108.5,5.0,9.9,Tata
2837,Figo Diesel Titanium,Hyderabad,2012,71558,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3.3,Ford
2838,Panamera Diesel,Delhi,2013,48000,Diesel,Automatic,Second,17.85,2967.0,300.0,4.0,50.5,Porsche
2839,Creta 1.6 CRDi AT SX Plus,Jaipur,2015,65800,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,12.5,Hyundai
2840,A4 2.0 TDI Multitronic,Hyderabad,2014,53000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,20.5,Audi
2841,XUV500 W8 4WD,Kolkata,2017,14600,Diesel,Manual,First,16.0,2179.0,140.0,7.0,14.5,Mahindra
2842,MUX 4WD,Jaipur,2017,34429,Diesel,Automatic,First,13.8,2999.0,174.57,7.0,20.0,Isuzu
2843,Swift Dzire VDI,Delhi,2014,52000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5.25,Maruti
2844,Ciaz ZXi,Kolkata,2015,25470,Petrol,Manual,First,20.73,1373.0,91.1,5.0,5.9,Maruti
2845,EON Era Plus,Pune,2013,22000,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.6,Hyundai
2846,E-Class 280 CDI,Chennai,2007,75000,Diesel,Automatic,First,11.0,2987.0,198.5,5.0,11.0,Mercedes-Benz
2847,5 Series 2003-2012 520d,Pune,2011,95995,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,15.5,BMW
2848,Grand i10 1.2 CRDi Sportz Option,Jaipur,2017,26877,Diesel,Manual,First,24.0,1186.0,73.97,5.0,5.75,Hyundai
2849,XJ 3.0L Portfolio,Hyderabad,2015,26000,Diesel,Automatic,First,14.47,2993.0,301.73,5.0,75.0,Jaguar
2850,Swift Ldi BSIII,Chennai,2007,140000,Diesel,Manual,Second,17.8,1248.0,75.0,5.0,2.0,Maruti
2851,Santro Xing GLS,Hyderabad,2008,95291,Petrol,Manual,First,17.92,1086.0,62.1,5.0,2.3,Hyundai
2852,Innova 2.5 V Diesel 8-seater,Hyderabad,2009,135000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,8.2,Toyota
2853,i20 Sportz 1.2,Kolkata,2015,32000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,4.8,Hyundai
2854,E-Class 280 CDI,Mumbai,2008,68333,Diesel,Automatic,Second,11.0,2987.0,198.5,5.0,8.5,Mercedes-Benz
2855,Figo Diesel ZXI,Chennai,2011,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.9,Ford
2856,Corolla Altis 1.4 DG,Ahmedabad,2012,52100,Diesel,Manual,First,21.43,1364.0,86.79,5.0,6.5,Toyota
2857,Grand i10 1.2 Kappa Sportz,Jaipur,2018,10000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.85,Hyundai
2858,Compass 2.0 Limited 4X4,Coimbatore,2019,6261,Diesel,Manual,First,16.3,1956.0,170.0,5.0,23.91,Jeep
2859,Ignis 1.2 AMT Alpha,Coimbatore,2019,3906,Petrol,Automatic,First,20.89,1197.0,81.8,5.0,7.36,Maruti
2860,Fortuner 3.0 Diesel,Pune,2014,55960,Diesel,Manual,First,11.5,2982.0,171.0,7.0,17.25,Toyota
2861,Vento Diesel Highline,Jaipur,2013,144000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,7.0,Volkswagen
2862,Innova Crysta 2.4 VX MT,Mumbai,2017,38000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,17.65,Toyota
2863,Figo Diesel Celebration Edition,Jaipur,2013,51000,Diesel,Manual,First,20.0,1399.0,68.1,5.0,2.5,Ford
2864,Platinum Etios 1.4 GXD,Hyderabad,2015,150000,Diesel,Manual,First,23.59,1364.0,67.05,5.0,6.0,Toyota
2865,Thar DI 4X4,Mumbai,2018,2500,Diesel,Manual,First,18.06,2523.0,63.0,7.0,8.25,Mahindra
2866,Rover Range Rover HSE Dynamic,Kochi,2018,41661,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,44.83,Land-Rover
2867,3 Series 320d Highline,Delhi,2011,64000,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,10.5,BMW
2868,Accent GLS,Bangalore,2008,80000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,1.9,Hyundai
2869,Celerio ZXI AT,Jaipur,2016,30000,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,4.25,Maruti
2870,XF 2.2 Litre Luxury,Chennai,2014,43000,Diesel,Automatic,Second,16.36,2179.0,187.7,5.0,26.5,Jaguar
2871,A6 2.7 TDI,Bangalore,2013,90000,Diesel,Automatic,Second,12.4,2698.0,179.5,5.0,22.5,Audi
2872,Micra Diesel XV,Hyderabad,2011,123880,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.3,Nissan
2873,Amaze S i-Vtech,Jaipur,2015,42000,Petrol,Manual,Second,18.0,1198.0,86.7,5.0,4.3,Honda
2874,Duster 85PS Diesel RxL Option,Chennai,2012,79824,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.25,Renault
2875,Innova 2.5 G (Diesel) 8 Seater,Jaipur,2015,75000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,11.75,Toyota
2876,Amaze E i-Vtech,Ahmedabad,2014,72411,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.25,Honda
2877,New C-Class C 250 CDI Elegance,Delhi,2012,63000,Diesel,Automatic,First,14.94,2143.0,204.0,5.0,14.22,Mercedes-Benz
2878,Etios Liva G,Chennai,2015,53713,Petrol,Manual,First,17.71,1197.0,78.9,5.0,4.2,Toyota
2879,Innova Crysta 2.8 GX AT 8S,Delhi,2017,18000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,18.25,Toyota
2880,New C-Class 200 CDI Elegance,Bangalore,2013,51000,Diesel,Manual,First,15.8,2148.0,170.0,5.0,18.5,Mercedes-Benz
2881,Swift VXI BSIII,Chennai,2008,86700,Petrol,Manual,Second,16.1,1298.0,88.2,5.0,2.4,Maruti
2882,Baleno Alpha 1.3,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.5,Maruti
2883,Santro Xing GL Plus LPG,Hyderabad,2014,56000,LPG,Manual,First,13.45,1086.0,62.1,5.0,3.2,Hyundai
2884,Celerio VXI AT,Mumbai,2015,33000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,3.99,Maruti
2885,Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,64394,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.45,Ford
2886,Manza Aura Quadrajet,Hyderabad,2010,76000,Diesel,Manual,First,18.8,1248.0,90.0,5.0,2.7,Tata
2887,Jazz 1.5 SV i DTEC,Mumbai,2016,48719,Diesel,Manual,First,27.3,1498.0,98.6,5.0,6.25,Honda
2888,XUV500 W8 2WD,Coimbatore,2016,59711,Diesel,Manual,First,15.1,2179.0,140.0,7.0,13.28,Mahindra
2889,Micra Diesel XV Premium,Hyderabad,2012,83000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.7,Nissan
2890,New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,10714,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.51,Mercedes-Benz
2891,Manza Aura Plus Quadrajet BS IV,Hyderabad,2010,127510,Diesel,Manual,Second,19.0,1248.0,90.0,5.0,1.4,Tata
2892,Swift VDI,Kolkata,2014,35010,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.5,Maruti
2893,Swift Dzire 1.2 Lxi BSIV,Jaipur,2012,75451,Petrol,Manual,First,17.5,1197.0,85.8,5.0,3.78,Maruti
2894,Indigo eCS LS (TDI) BS-III,Pune,2015,83000,Diesel,Manual,First,19.09,1405.0,69.01,5.0,2.7,Tata
2895,Amaze S i-Dtech,Kolkata,2013,38755,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.2,Honda
2896,Swift VXI BSIV,Delhi,2016,30000,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.0,Maruti
2897,Ertiga ZDI,Chennai,2012,40000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7.0,Maruti
2898,Grand i10 Era,Kolkata,2014,19500,Petrol,Manual,Second,18.9,1197.0,82.0,5.0,2.85,Hyundai
2899,Micra Active XV,Ahmedabad,2016,41000,Petrol,Manual,First,19.69,1198.0,67.04,5.0,4.25,Nissan
2900,Grand i10 Asta Option,Bangalore,2014,30000,Petrol,Manual,Second,18.9,1197.0,82.0,5.0,4.9,Hyundai
2901,Compass 2.0 Sport,Hyderabad,2017,37000,Diesel,Manual,First,17.1,1956.0,170.0,5.0,16.9,Jeep
2902,Polo Diesel Comfortline 1.2L,Delhi,2014,62000,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,4.25,Volkswagen
2903,Amaze S AT i-Vtech,Pune,2015,42023,Petrol,Automatic,First,15.5,1198.0,86.7,5.0,4.34,Honda
2904,X3 xDrive20d Advantage Edition,Kolkata,2012,51001,Diesel,Automatic,First,16.09,1995.0,184.0,5.0,17.0,BMW
2905,3 Series 320d Luxury Line,Kochi,2017,55389,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,28.45,BMW
2906,City V AT,Kochi,2014,46728,Petrol,Automatic,First,15.6,1497.0,116.3,5.0,6.15,Honda
2907,Ssangyong Rexton RX5,Kochi,2014,58995,Diesel,Manual,First,12.83,2696.0,162.0,7.0,9.25,Mahindra
2908,Swift Dzire LDI,Delhi,2015,37857,Diesel,Manual,First,26.59,1248.0,74.0,5.0,4.85,Maruti
2909,Swift VDI BSIV,Jaipur,2014,71000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.8,Maruti
2910,Brio S Option MT,Pune,2012,49024,Petrol,Manual,First,18.4,1198.0,86.8,5.0,2.3,Honda
2911,Grand i10 Sportz,Mumbai,2016,10770,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.75,Hyundai
2912,Zest Quadrajet 1.3 75PS XM,Pune,2017,72000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.0,Tata
2913,EON Era Plus,Jaipur,2015,91000,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.5,Hyundai
2914,i20 1.2 Spotz,Mumbai,2017,14000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.95,Hyundai
2915,S60 D4 KINETIC,Delhi,2014,48000,Diesel,Automatic,Second,9.0,1984.0,181.0,5.0,16.0,Volvo
2916,Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2014,75136,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.15,Ford
2917,Ritz VXI,Hyderabad,2014,32500,Petrol,Manual,Second,21.1,1197.0,85.8,5.0,4.05,Maruti
2918,i20 1.4 CRDi Magna,Hyderabad,2010,94500,Diesel,Manual,Second,21.9,1396.0,90.0,5.0,3.1,Hyundai
2919,Dzire VXI,Hyderabad,2013,34900,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.49,Maruti
2920,Panamera 2010 2013 4S,Coimbatore,2010,42400,Petrol,Automatic,Third,8.0,4806.0,394.3,4.0,42.91,Porsche
2921,Swift VDi BSIII W/ ABS,Jaipur,2015,50000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,5.7,Maruti
2922,Brio S MT,Kolkata,2014,35000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.85,Honda
2923,Beat LS,Bangalore,2012,37000,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,2.35,Chevrolet
2924,Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2018,32807,Petrol,Automatic,First,13.0,1591.0,121.3,5.0,14.76,Hyundai
2925,City ZX GXi,Pune,2008,119000,Petrol,Manual,Second,17.7,1497.0,78.0,5.0,2.25,Honda
2926,Ritz LXi,Mumbai,2016,12000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.65,Maruti
2927,EcoSport 1.5 TDCi Trend,Delhi,2016,46727,Diesel,Manual,First,22.77,1498.0,98.59,5.0,7.25,Ford
2928,3 Series 320d,Hyderabad,2010,73336,Diesel,Automatic,First,13.2,1995.0,170.0,5.0,10.69,BMW
2929,Verna 1.6 SX VTVT,Mumbai,2014,9000,Petrol,Manual,Second,17.01,1591.0,121.3,5.0,5.5,Hyundai
2930,Innova 2.5 G4 Diesel 8-seater,Chennai,2005,240000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,8.0,5.1,Toyota
2931,Wagon R LXI,Mumbai,2014,25422,Petrol,Manual,First,22.5,998.0,67.04,5.0,3.25,Maruti
2932,Ertiga VDI,Mumbai,2018,14000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,9.25,Maruti
2933,Alto LXi BSIII,Hyderabad,2008,66000,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.7,Maruti
2934,A-Star Vxi,Kochi,2010,55324,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.87,Maruti
2935,X5 3.0d,Bangalore,2009,90000,Diesel,Automatic,First,11.0,2993.0,235.0,5.0,17.75,BMW
2936,KUV 100 G80 K6 Plus 5Str,Kolkata,2017,43000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.5,Mahindra
2937,i10 Magna AT,Bangalore,2008,58483,Petrol,Automatic,Second,19.2,1197.0,80.0,5.0,2.95,Hyundai
2938,Civic 2006-2010 1.8 S AT,Pune,2007,93000,Petrol,Automatic,Second,12.9,1799.0,130.0,5.0,2.6,Honda
2939,i10 Sportz 1.2,Hyderabad,2010,50000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.0,Hyundai
2940,New C-Class C 220 CDI Elegance AT,Ahmedabad,2014,78616,Diesel,Automatic,Second,14.84,2143.0,170.0,5.0,15.5,Mercedes-Benz
2941,Etios G,Pune,2011,37000,Petrol,Manual,First,17.6,1496.0,88.73,5.0,2.8,Toyota
2942,City 1.5 E MT,Kolkata,2010,54801,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.5,Honda
2943,Swift Dzire VDI,Bangalore,2014,29000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5.75,Maruti
2944,Swift VXI,Pune,2010,68000,Petrol,Manual,First,22.0,1197.0,81.8,5.0,2.8,Maruti
2945,Verna 1.6 EX VTVT,Kolkata,2014,58000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,4.59,Hyundai
2946,Ritz VDi,Pune,2012,64290,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.65,Maruti
2947,Fortuner 4x2 Manual,Mumbai,2015,31000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,19.85,Toyota
2948,Compass 2.0 Limited,Pune,2018,16039,Diesel,Manual,First,17.1,1956.0,170.0,5.0,18.5,Jeep
2949,i20 Asta Option 1.2,Hyderabad,2017,19860,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.95,Hyundai
2950,Wagon R LXI CNG,Delhi,2014,48500,CNG,Manual,Second,26.6,998.0,58.16,5.0,2.85,Maruti
2951,New Safari DICOR 2.2 EX 4x4 BS IV,Jaipur,2012,75391,Diesel,Manual,First,13.93,2179.0,138.0,7.0,3.75,Tata
2952,Swift Dzire LDi,Jaipur,2008,78000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,2.3,Maruti
2953,Indigo eCS eLS BS IV,Kolkata,2016,78000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,2.3,Tata
2954,Swift LDI,Hyderabad,2016,52000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.95,Maruti
2955,Celerio VXI AT,Kolkata,2016,30000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,3.49,Maruti
2956,5 Series 2013-2017 530d M Sport,Coimbatore,2016,19254,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,47.7,BMW
2957,Polo 1.2 MPI Highline,Coimbatore,2015,29651,Petrol,Manual,First,16.47,1198.0,74.0,5.0,6.43,Volkswagen
2958,Safari DICOR 2.2 LX 4x2,Bangalore,2011,80000,Diesel,Manual,First,13.93,2179.0,138.03,7.0,4.5,Tata
2959,Cooper S Carbon Edition,Kolkata,2018,2971,Petrol,Automatic,First,13.6,1598.0,181.0,4.0,39.75,Mini
2960,Figo Petrol Titanium,Kolkata,2015,21400,Petrol,Manual,First,15.6,1196.0,70.0,5.0,4.0,Ford
2961,City i DTEC V,Ahmedabad,2015,77000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,6.98,Honda
2962,Tucson CRDi,Delhi,2006,80000,Diesel,Manual,Second,12.6,1991.0,112.0,7.0,1.75,Hyundai
2963,Laura Ambiente 2.0 TDI CR MT,Delhi,2013,81755,Diesel,Manual,First,20.0,1968.0,108.5,5.0,4.75,Skoda
2964,Fortuner 3.0 Diesel,Hyderabad,2016,99593,Diesel,Manual,First,11.5,2982.0,171.0,7.0,23.5,Toyota
2965,Verna 1.6 SX,Hyderabad,2014,39791,Diesel,Manual,First,22.32,1582.0,126.32,5.0,7.49,Hyundai
2966,XUV500 W6 2WD,Hyderabad,2015,113000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,10.85,Mahindra
2967,KWID RXT,Mumbai,2017,24000,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.5,Renault
2968,i20 Asta 1.2,Bangalore,2015,39000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,6.3,Hyundai
2969,City V AT,Bangalore,2012,37000,Petrol,Automatic,First,15.6,1497.0,116.3,5.0,6.75,Honda
2970,Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,61108,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,28.88,Ford
2971,Superb Elegance 1.8 TSI AT,Kochi,2016,61648,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,14.23,Skoda
2972,3 Series 320d Sport,Mumbai,2012,37000,Diesel,Automatic,Third,22.69,1995.0,190.0,5.0,15.0,BMW
2973,Ertiga VXI CNG,Mumbai,2013,53000,CNG,Manual,First,22.8,1373.0,80.9,7.0,5.8,Maruti
2974,Ritz LDi,Jaipur,2013,65000,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.75,Maruti
2975,Fortuner 3.0 Diesel,Jaipur,2011,148009,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,12.75,Toyota
2976,Swift Lxi BSIII,Mumbai,2009,53001,Petrol,Manual,First,16.1,1298.0,88.2,5.0,1.95,Maruti
